ID_CommunityIdentity;ID_CommunityIdentityConnectedTo;ID_CommunityConnectionType
1778;246490;1
5872;5872;1
9030;23875;1
9030;508504;1
10569;10569;1
10569;91850;1
10569;547472;1
13391;37249;1
14060;119908;1
16785;16785;1
16785;654785;1
20447;4162;1
20447;35182;1
20447;37249;1
20447;37708;2
20447;43775;2
20447;48895;1
20447;54907;1
20447;55475;1
20447;63799;2
20447;72114;2
20447;85909;1
20447;92007;2
20447;116864;2
20447;117404;2
20447;118117;2
20447;124124;1
20447;128078;2
20447;137129;2
20447;150739;2
20447;168570;1
20447;175621;2
20447;178294;1
20447;227468;1
20447;245310;2
20447;328743;1
20447;499856;1
20447;519657;1
20447;523660;1
20447;526006;2
20447;528013;2
20447;529561;1
20447;530731;2
20447;535749;2
20447;548147;2
20447;549213;1
20447;554327;2
20447;559659;2
20447;561597;2
20447;564156;2
20447;568263;2
20447;569699;2
20447;572131;2
20447;576426;2
20447;579842;2
20447;579985;2
20447;586124;2
20447;589032;2
20447;602824;1
20447;605418;2
20447;605953;2
20447;607907;2
20447;633260;2
20447;633637;1
20447;635122;2
20447;638485;2
20447;639830;2
20447;652213;1
20447;669570;2
20447;678196;2
20447;689274;2
20447;690685;2
20447;691182;2
20447;692312;2
20447;692535;2
20447;692816;2
20447;693797;2
20847;8545;2
20847;28392;2
20847;40022;2
20847;44201;2
20847;49126;2
20847;49444;2
20847;52128;2
20847;52261;2
20847;53014;2
20847;57962;2
20847;59588;2
20847;71278;2
20847;72867;2
20847;75189;2
20847;76577;2
20847;84211;2
20847;90151;2
20847;94788;2
20847;103789;2
20847;106004;2
20847;117768;2
20847;119409;1
20847;137185;2
20847;143035;2
20847;150739;2
20847;151710;1
20847;167646;2
20847;170263;2
20847;172357;2
20847;177299;2
20847;178422;2
20847;189074;2
20847;189476;2
20847;190900;2
20847;206812;2
20847;220003;2
20847;221305;2
20847;222643;2
20847;226755;2
20847;235534;2
20847;236358;2
20847;248304;2
20847;317761;2
20847;324635;2
20847;499613;2
20847;499700;2
20847;500425;2
20847;500861;2
20847;501015;2
20847;501330;2
20847;501428;2
20847;501782;2
20847;503908;2
20847;504463;2
20847;506914;2
20847;513014;2
20847;513829;2
20847;523951;2
20847;527154;2
20847;528633;2
20847;528758;2
20847;529323;2
20847;536050;2
20847;536826;2
20847;540551;2
20847;541297;2
20847;544506;2
20847;544942;2
20847;548363;2
20847;549151;2
20847;549240;2
20847;555591;2
20847;562624;2
20847;563452;2
20847;566270;2
20847;568655;2
20847;569699;2
20847;570931;2
20847;571425;2
20847;572120;2
20847;574677;2
20847;577328;2
20847;577332;2
20847;579244;2
20847;579588;2
20847;580730;2
20847;581271;2
20847;581524;2
20847;582098;2
20847;583231;2
20847;583394;2
20847;586068;2
20847;586365;2
20847;587830;2
20847;588391;2
20847;588652;2
20847;589057;2
20847;589361;2
20847;589603;2
20847;589629;2
20847;589970;2
20847;590087;2
20847;600283;2
20847;601189;2
20847;601700;2
20847;603760;2
20847;605165;2
20847;605500;2
20847;605791;2
20847;605953;2
20847;606337;2
20847;629450;2
20847;630120;2
20847;631228;2
20847;632268;2
20847;633296;2
20847;633941;2
20847;634111;2
20847;634783;2
20847;635497;2
20847;635804;2
20847;639730;2
20847;639906;2
20847;640737;2
20847;640868;2
20847;651621;2
20847;652709;2
1258;502290;1
3466;134489;1
3466;536139;1
4384;37249;1
4384;45168;1
5487;5487;1
5487;66138;1
5487;154485;1
5487;196753;1
9281;47944;1
9281;302559;1
10518;10518;1
15548;15548;1
15801;15801;1
15801;37249;1
15801;37708;2
15801;41961;1
15801;44420;2
15801;52275;1
15801;90208;2
15801;96418;1
15801;116864;2
15801;123892;1
15801;128236;1
15801;147131;2
15801;184943;1
15801;196753;1
15801;201096;2
15801;213679;1
15801;218671;1
15801;229339;1
15801;233762;1
15801;272318;1
15801;499251;1
15801;517212;2
15801;548147;2
15801;549570;1
15801;554327;1
15801;573244;2
15801;576049;1
15801;579551;1
15801;580495;1
15801;581219;2
15801;589777;2
15801;602824;2
15801;603376;1
15801;607549;1
15801;608165;1
15801;633532;2
15801;677309;1
15801;687518;2
19778;33523;1
19778;52128;1
20010;20010;1
20010;577100;1
20010;589867;1
20882;4006;2
20882;7952;2
20882;10192;2
20882;10992;2
20882;20373;2
20882;22680;2
20882;28392;2
20882;29444;2
20882;41062;2
20882;43641;2
20882;43683;2
20882;43775;2
20882;44420;2
20882;45892;2
20882;49618;2
20882;51468;2
20882;53010;2
20882;53014;2
20882;54508;2
20882;55023;2
20882;55887;2
20882;60804;2
20882;63226;2
20882;63392;2
20882;69671;2
20882;71313;2
20882;83046;2
20882;88548;2
20882;97204;2
20882;97532;2
20882;101681;2
20882;107329;2
20882;110333;2
20882;116864;2
20882;117560;2
20882;119748;2
20882;120014;2
20882;120161;2
20882;125092;2
20882;128059;2
20882;128733;2
20882;133175;2
20882;136257;2
20882;137129;2
20882;138619;2
20882;143951;2
20882;155433;2
20882;160247;2
20882;165885;2
20882;167183;2
20882;167277;2
20882;172325;2
20882;173727;2
20882;175922;2
20882;176164;2
20882;176534;2
20882;178125;2
20882;182345;2
20882;182876;2
20882;189573;2
20882;191281;2
20882;196039;2
20882;204447;2
20882;207112;2
20882;208272;2
20882;210819;2
20882;210851;2
20882;211583;2
20882;214078;2
20882;233730;2
20882;233762;2
20882;243177;2
20882;249578;2
20882;254568;2
20882;324635;2
20882;337826;2
20882;499281;2
20882;499367;2
20882;499562;2
20882;499856;2
20882;500152;2
20882;500511;2
20882;501657;2
20882;501931;2
20882;505942;2
20882;506316;2
20882;506775;2
20882;507646;2
20882;509166;2
20882;511890;2
20882;514403;2
20882;514525;2
20882;516017;2
20882;519140;2
20882;527174;2
20882;527181;2
20882;528013;2
20882;528225;2
20882;531626;2
20882;533127;2
20882;534390;2
20882;541122;2
20882;541665;2
20882;543994;2
20882;545580;2
20882;545586;2
20882;545822;2
20882;547223;2
20882;548390;2
20882;548622;2
20882;551403;2
20882;554287;2
20882;554399;2
20882;557259;2
20882;560726;2
20882;561204;2
20882;564382;2
20882;565297;2
20882;566287;2
20882;566404;2
20882;568836;2
20882;568867;2
20882;570174;2
20882;570388;2
20882;573336;2
20882;578525;2
20882;580625;2
20882;580958;2
20882;581219;2
20882;581221;2
20882;583086;2
20882;584902;2
20882;586597;2
20882;590087;2
20882;600252;2
20882;601885;2
20882;602349;2
20882;603166;2
20882;604831;2
20882;605829;2
20882;607160;2
20882;607807;2
20882;608649;2
20882;629352;2
20882;632891;2
20882;633485;2
20882;633967;2
20882;634656;2
1782;49137;1
1782;507774;1
2273;2273;1
2273;13770;1
2273;25633;1
2273;43319;1
2273;44584;1
2273;51918;1
2273;114285;1
2273;132209;1
2273;132568;1
2273;137790;1
2273;155072;1
2273;176745;1
2273;186684;1
2273;224497;1
2273;226280;1
2273;309385;1
2273;317937;1
2273;499358;1
2273;499906;2
2273;506657;1
2273;509522;1
2273;546752;1
2273;547688;1
2273;568535;1
2273;601700;1
2273;603329;1
2273;633144;1
2273;636462;1
2273;666154;1
5460;522766;2
5460;568415;2
7664;7664;1
7664;60979;1
7664;94855;1
7664;137950;1
7664;184982;1
7664;231623;1
7664;506757;1
9538;121814;1
9538;531158;1
9538;654549;1
15911;10871;2
15911;11498;2
15911;32008;1
15911;38837;2
15911;40876;2
15911;115879;2
15911;170263;2
15911;235179;2
15911;239292;1
15911;508485;2
15911;526391;2
20257;2820;2
20257;6602;2
20257;14647;2
20257;18537;2
20257;22695;2
20257;26627;2
20257;27470;2
20257;28812;2
20257;30457;2
20257;30911;2
20257;44980;2
20257;49126;2
20257;54010;2
20257;55016;2
20257;55806;2
20257;58186;2
20257;64124;2
20257;71141;2
20257;83463;2
20257;98033;2
20257;106357;2
20257;115463;2
20257;115749;2
20257;119887;2
20257;140123;2
20257;150739;2
20257;151141;2
20257;154485;2
20257;165633;2
20257;168537;2
20257;172357;2
20257;176874;2
20257;184943;2
20257;185403;2
20257;188223;2
20257;188652;2
20257;191336;2
20257;203973;2
20257;204211;2
20257;207696;2
20257;209287;2
20257;217212;2
20257;219450;2
20257;226755;2
20257;228825;2
20257;240843;2
20257;331794;2
20257;500019;2
20257;501007;2
20257;501644;2
20257;501798;2
20257;502216;2
20257;503001;2
20257;507222;2
20257;509696;2
20257;512243;2
20257;512315;2
20257;512341;2
20257;513781;2
20257;514962;2
20257;515635;2
20257;518647;2
20257;518868;2
20257;525222;2
20257;525643;2
20257;527290;1
20257;527997;2
20257;532918;2
20257;533478;2
20257;534301;2
20257;536826;2
20257;543372;2
20257;544595;2
20257;547281;2
20257;548513;2
20257;548641;2
20257;549842;2
20257;561652;2
20257;561776;2
20257;562036;2
20257;563061;2
20257;564003;2
20257;568460;2
20257;569212;2
20257;570550;2
20257;571425;2
20257;571524;2
20257;573037;2
20257;573201;2
20257;573469;2
20257;573861;2
20257;575173;2
20257;577560;2
20257;578353;2
20257;579736;2
20257;579846;2
20257;580659;2
20257;580731;2
20257;580812;2
20257;581271;2
20257;582098;2
20257;584787;2
20257;587235;2
20257;587439;2
20257;588511;2
20257;589970;2
20257;590087;2
20257;601488;2
20257;603760;2
20257;605602;2
20257;605953;2
20257;607160;2
20257;608925;2
20257;630308;2
20257;631153;2
20257;631414;2
20257;631813;2
20257;632610;2
20257;633215;2
20257;633941;2
20257;634012;2
20257;634488;2
20257;634584;2
20257;634668;2
20257;635288;2
20257;636201;2
20257;636462;2
20257;637560;2
20257;638264;2
20257;639002;2
20257;639644;2
20257;640123;2
20257;651082;2
20257;651572;2
20257;651722;2
20257;666064;2
20257;666154;2
20257;668509;2
20257;669644;2
20257;669955;2
20257;671203;2
20257;671401;2
20257;680320;2
20257;684426;2
20257;686372;2
20534;20534;1
20700;20700;1
21663;34243;1
21663;37249;1
21663;249582;1
5006;5006;1
6101;226002;2
6410;515039;1
6637;584691;1
8318;8318;1
9309;37147;2
9309;40139;2
9309;44420;2
9309;51625;2
9309;57085;2
9309;58849;2
9309;73860;2
9309;94507;2
9309;132438;2
9309;183504;2
9309;185403;2
9309;193754;2
9309;214377;2
9309;233529;2
9309;499613;2
9309;499700;2
9309;501871;2
9309;502216;2
9309;503395;2
9309;505950;2
9309;513678;2
9309;516802;2
9309;521362;2
9309;553379;2
9309;554350;2
9309;574978;2
9309;575787;2
9309;576049;2
9309;579244;2
9309;586297;2
9309;586365;2
9309;589056;2
9309;600389;2
9309;601254;2
9309;602824;2
9309;605993;2
9309;608041;2
9309;608649;2
9309;630089;2
9309;634668;2
9309;634887;2
9309;639644;2
9309;670102;2
9309;672544;2
9309;677156;2
9309;678310;2
9309;680447;2
13498;507280;1
13498;578728;2
13498;602824;2
13498;670102;2
13689;20373;2
13689;48469;2
13689;499367;2
13689;503020;2
13689;508710;2
13689;553371;2
13689;554287;2
18010;18010;1
18044;519657;1
22081;1238;2
22081;8036;2
22081;16074;2
22081;28392;2
22081;35391;2
22081;40145;2
22081;44420;2
22081;49251;2
22081;49787;2
