:START_ID,:END_ID
u1778,u246490
u5872,u5872
u9030,u23875
u9030,u508504
u10569,u10569
u10569,u91850
u10569,u547472
u13391,u37249
u14060,u119908
u16785,u16785
u16785,u654785
u20447,u4162
u20447,u35182
u20447,u37249
u20447,u48895
u20447,u54907
u20447,u55475
u20447,u85909
u20447,u124124
u20447,u168570
u20447,u178294
u20447,u227468
u20447,u328743
u20447,u499856
u20447,u519657
u20447,u523660
u20447,u529561
u20447,u549213
u20447,u602824
u20447,u633637
u20447,u652213
u20847,u119409
u20847,u151710
u1258,u502290
u3466,u134489
u3466,u536139
u4384,u37249
u4384,u45168
u5487,u5487
u5487,u66138
u5487,u154485
u5487,u196753
u9281,u47944
u9281,u302559
u10518,u10518
u15548,u15548
u15801,u15801
u15801,u37249
u15801,u41961
u15801,u52275
u15801,u96418
u15801,u123892
u15801,u128236
u15801,u184943
u15801,u196753
u15801,u213679
u15801,u218671
u15801,u229339
u15801,u233762
u15801,u272318
u15801,u499251
u15801,u549570
u15801,u554327
u15801,u576049
u15801,u579551
u15801,u580495
u15801,u603376
u15801,u607549
u15801,u608165
u15801,u677309
u19778,u33523
u19778,u52128
u20010,u20010
u20010,u577100
u20010,u589867
u1782,u49137
u1782,u507774
u2273,u2273
u2273,u13770
u2273,u25633
u2273,u43319
u2273,u44584
u2273,u51918
u2273,u114285
u2273,u132209
u2273,u132568
u2273,u137790
u2273,u155072
u2273,u176745
u2273,u186684
u2273,u224497
u2273,u226280
u2273,u309385
u2273,u317937
u2273,u499358
u2273,u506657
u2273,u509522
u2273,u546752
u2273,u547688
u2273,u568535
u2273,u601700
u2273,u603329
u2273,u633144
u2273,u636462
u2273,u666154
u7664,u7664
u7664,u60979
u7664,u94855
u7664,u137950
u7664,u184982
u7664,u231623
u7664,u506757
u9538,u121814
u9538,u531158
u9538,u654549
u15911,u32008
u15911,u239292
u20257,u527290
u20534,u20534
u20700,u20700
u21663,u34243
u21663,u37249
u21663,u249582
u5006,u5006
u6410,u515039
u6637,u584691
u8318,u8318
u13498,u507280
u18010,u18010
u18044,u519657
u22081,u52261
u22081,u639830
u23683,u23214
u23683,u80635
u24128,u8036
u24128,u24128
u24128,u30731
u24128,u68191
u24128,u91832
u24128,u204200
u24128,u236690
u24128,u499212
u24128,u503180
u24128,u524789
u24128,u534531
u24128,u558183
u24128,u558869
u24128,u569757
u24128,u682056
u28804,u28804
u28804,u165190
u28804,u196647
u28804,u553878
u28804,u631813
u29301,u588836
u30980,u689558
u30980,u693763
u31373,u1782
u31373,u26373
